Field=#~Integer~#~50|Field=Designator~String~Designator~225|Field=PartNumber~String~PartNumber~187|Field=Manufacturer~String~Manufacturer~187|Field=Quantity~Integer~Quantity~187|Field=ValueManufacturerPartNumber~String~ValueManufacturerPartNumber~103|Field=HelpURL~String~HelpURL~133|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~MPPT_controller.PrjPcb|ReportField=ProjectFullPath~D:\Work\HEVEL\MPPT_controller\HARDWARE (Altium)\MPPT_controller.PrjPcb|ReportField=Title~Bill of Materials For Project [MPPT_controller.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~242|ReportField=ReportTime~22:47:29|ReportField=ReportDate~09.03.2020|ReportField=ReportDateTime~09.03.2020 22:47:29|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~Грефенштейн|ReportField=CompanyName~|ReportField=CurrentDate~09.03.2020|ReportField=CurrentTime~22:42:17|ReportField=CustomerNumber~|ReportField=Date~|ReportField=DecimalNumber~{DecimalNumber}|ReportField=DocumentFullPathAndName~D:\Work\HEVEL\MPPT_controller\HARDWARE (Altium)\Sheet1.SchDoc|ReportField=DocumentName~Sheet1.SchDoc|ReportField=DocumentNumber~|ReportField=DocumentStatus~Released|ReportField=DocumentType~Схема электрическая принципиальная|ReportField=DrawnBy~Тихонов|ReportField=Engineer~|ReportField=FirstApp~|ReportField=ImagePath~|ReportField=Language~en|ReportField=Liter~|ReportField=ModifiedDate~09.03.2020|ReportField=NormControl~|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=0.96:XCorrection=1.00:YCorrection=1.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=7:PrintQuality=-4:MediaType=1:DitherType=10:PaperKind=A3:PrintScaleMode=1|ReportField=ProjectName~MPPT_controller.PrjPcb|ReportField=ResponsibleDept~DED|ReportField=Revision~|ReportField=Rule~|ReportField=Scale~|ReportField=SheetNumber~1|ReportField=SheetTotal~2|ReportField=TechControl~|ReportField=Time~|ReportField=Title~|ReportField=Title0~Плата заряда аккумулятора|ReportField=Title1~|ReportField=ConfigurationParameters~|ReportField=EngineerName~|ReportField=FirstReferrence~|ReportField=Letter1Column~|ReportField=Letter2Column~|ReportField=Letter3Column~|ReportField=Mass~|ReportField=NormInspection~|ReportField=ProcessInspection~|ReportField=Title2str~|ReportField=DataSourceFileName~MPPT_controller.PrjPcb|ReportField=DataSourceFullPath~D:\Work\HEVEL\MPPT_controller\HARDWARE (Altium)\MPPT_controller.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|A1|RN4870-I/RM128|Microchip Technology|1|Bluetooth Module|https://www.digikey.com/product-detail/en/microchip-technology/RN4870-I-RM128/RN4870-I-RM128-ND/8037764
2|C1, C2, C3|EEH-ZA1J330P|Panasonic|3|EP-cap, 33mk, 63V, ±20%|https://www.digikey.com/product-detail/en/panasonic-electronic-components/EEH-ZA1J330P/P15448CT-ND/3088162
3|C4, C5, C6, C7, C25, C40, C42|12101C225KAT2A|AVX|7|CAP CER, 2.2mk, X7R, ±10%, 100V, 1210|https://www.digikey.com/product-detail/en/avx-corporation/12101C225KAT2A/478-7974-1-ND/3881597
4|C8, C9, C11, C12|C4532X7S2A475M230KB|TDK|4|CAP CER, 4.7mk, X7S, ±20%, 100V, 1812|https://www.digikey.com/product-detail/en/tdk-corporation/C4532X7S2A475M230KB/445-5211-1-ND/2116346
5|C10, C26, C34, C38, C43, C44|06031C104KAT2A|AVX|6|CAP CER, 0.1mk, X7R, ±10%, 100V, 0603|https://www.digikey.com/product-detail/en/avx-corporation/06031C104KAT2A/478-10047-1-ND/6564270
6|C13|EKZE101ELL221MK25S|United Chemi-Con|1|CAP ALUM, 220mk, 100V, ±20%|https://www.digikey.com/product-detail/en/united-chemi-con/EKZE101ELL221MK25S/565-1739-ND/756255
7|C14, C17, C33, C35, C46, C48, C55, C59|06031C103KAT2A|AVX|8|CAP CER, 0.01mk, X7R, ±10%, 100V, 0603|https://www.digikey.com/product-detail/en/avx-corporation/06031C103KAT2A/478-1205-2-ND/563315
8|C15, C16|GRM188R71C474KA88D|Murata|2|CAP CER, 0.47mk, X7R, ±10%, 16V, 0603|https://www.digikey.com/product-detail/en/murata-electronics/GRM188R71C474KA88D/490-3295-1-ND/702836
9|C18, C19|12061A102KAT2A|AVX|2|CAP CER, 1000p, NP0, ±10%, 100V, 1206|https://www.digikey.com/product-detail/en/avx-corporation/12061A102KAT2A/478-5168-1-ND/1913258
10|C20|0603YC102MAT4A|AVX|1|CAP CER, 1n, X7R, ±20%, 16V, 0603|https://www.digikey.com/products/en?keywords=0603YC102MAT4A
11|C21, C22|0603YC332MAT4A|AVX|2|CAP CER, 3.3n, X7R, ±20%, 16V, 0603|https://www.digikey.com/products/en?keywords=0603YC102MAT4A
12|C23, C24|0603YD224KAT2A|AVX|2|CAP CER, 0.22mk, X5R, ±20%, 16V, 0603|https://www.digikey.com/product-detail/en/avx-corporation/0603YD224KAT2A/478-1246-1-ND/564278
13|C27, C32, C50, C58|0603YC105KAT2A|AVX|4|CAP CER, 1mk, X7R, ±10%, 16V, 0603|https://www.digikey.com/product-detail/en/avx-corporation/0603YC105KAT2A/478-5010-1-ND/1888221
14|C28|12101C105KAT2A|AVX|1|CAP CER, 1mk, X7R, ±10%, 100V, 1210|https://www.digikey.com/product-detail/en/avx-corporation/12101C105KAT2A/478-2570-1-ND/717515
15|C29, C30, C56|0603ZD225KAT2A|AVX|3|CAP CER, 2.2mk, X5R, ±10%, 10V, 0603|https://www.digikey.com/product-detail/en/avx-corporation/0603ZD225KAT2A/478-6212-1-ND/2391411
